date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:50:23	0/0	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Feb%202024%2015:49:46%20GMT	https://bluezone.com.ng/fx	/home/raviheima/client/test/fx.0.delayed	(from )
16:50:26	29/29	---M--	200	added ('OK')	text/plain	date:Fri,%2002%20Feb%202024%2009:40:07%20GMT	https://bluezone.com.ng/robots.txt		(from )
16:50:39	133147/133147	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2015:50:26%20GMT	https://bluezone.com.ng/fx/	/home/raviheima/client/test/fx/index.html	(from )
16:50:41	219515/219515	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2026%20Feb%202024%2015:50:40%20GMT	https://connect.facebook.net/en_US/fbevents.js	/home/raviheima/client/test/en_US/fbevents.js	(from https://bluezone.com.ng/fx/)
16:50:43	117332/117332	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Dec%202023%2010:59:19%20GMT	https://bluezone.com.ng/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.18.3	/home/raviheima/client/test/wp-content/plugins/elementor/assets/css/frontend-lite.minf3b2.css	(from https://bluezone.com.ng/fx/)
16:50:44	1669/1669	---MCZ	200	added ('OK')	application/rss+xml	etag:%227b9b9a5355f60390635cb55a8ade196e%22	https://bluezone.com.ng/feed/	/home/raviheima/client/test/feed/index.html	(from https://bluezone.com.ng/fx/)
16:50:44	1650/1650	---MCZ	200	added ('OK')	application/rss+xml	etag:%227b9b9a5355f60390635cb55a8ade196e%22	https://bluezone.com.ng/comments/feed/	/home/raviheima/client/test/comments/feed/index.html	(from https://bluezone.com.ng/fx/)
16:50:45	16471/16471	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Dec%202023%2010:59:51%20GMT	https://bluezone.com.ng/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	/home/raviheima/client/test/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://bluezone.com.ng/fx/)
16:50:45	1168/1168	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Dec%202023%2011:13:44%20GMT	https://bluezone.com.ng/wp-content/uploads/elementor/css/post-7.css?ver=1703848424	/home/raviheima/client/test/wp-content/uploads/elementor/css/post-78979.css	(from https://bluezone.com.ng/fx/)
16:50:46	11405/11405	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Dec%202023%2010:58:22%20GMT	https://bluezone.com.ng/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.7.2	/home/raviheima/client/test/wp-content/plugins/elementor-pro/assets/css/frontend-lite.minf3df.css	(from https://bluezone.com.ng/fx/)
16:50:47	39603/39603	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Dec%202023%2011:19:08%20GMT	https://bluezone.com.ng/wp-content/uploads/elementor/css/global.css?ver=1703848748	/home/raviheima/client/test/wp-content/uploads/elementor/css/global2fd9.css	(from https://bluezone.com.ng/fx/)
16:50:48	42552/42552	---M--	200	added ('OK')	text/css	date:Mon,%2008%20Jan%202024%2017:51:18%20GMT	https://bluezone.com.ng/wp-content/uploads/elementor/css/post-12.css?ver=1704736278	/home/raviheima/client/test/wp-content/uploads/elementor/css/post-123e77.css	(from https://bluezone.com.ng/fx/)
16:50:50	9853/9853	---MC-	200	added ('OK')	text/css	date:Mon,%2026%20Feb%202024%2015:50:50%20GMT	https://fonts.googleapis.com/css?family=Roboto%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CRoboto+Slab%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CMontserrat%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CRed+Rose%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic&display=swap&ver=6.4.3	/home/raviheima/client/test/css1c2f.css	(from https://bluezone.com.ng/fx/)
16:50:52	87553/87553	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2028%20Aug%202023%2021:44:24%20GMT	https://bluezone.com.ng/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	/home/raviheima/client/test/wp-includes/js/jquery/jquery.minf43b.js	(from https://bluezone.com.ng/fx/)
16:50:52	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Feb%202024%2015:50:52%20GMT	https://fonts.gstatic.com/	/home/raviheima/client/test/index-2.html	(from https://bluezone.com.ng/fx/)
16:50:52	13577/13577	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2009%20Jun%202023%2010:19:24%20GMT	https://bluezone.com.ng/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	/home/raviheima/client/test/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://bluezone.com.ng/fx/)
16:50:57	190777/190777	---MCZ	200	added ('OK')	application/json	date:Mon,%2026%20Feb%202024%2015:50:54%20GMT	https://bluezone.com.ng/wp-json/	/home/raviheima/client/test/wp-json/index.html	(from https://bluezone.com.ng/fx/)
16:50:58	99445/99445	---MCZ	200	added ('OK')	application/json	date:Mon,%2026%20Feb%202024%2015:50:53%20GMT	https://bluezone.com.ng/wp-json/wp/v2/pages/12	/home/raviheima/client/test/wp-json/wp/v2/pages/12.json	(from https://bluezone.com.ng/fx/)
16:50:58	57682/57682	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Feb%202024%2015:50:57%20GMT	https://bluezone.com.ng/xmlrpc.php?rsd	/home/raviheima/client/test/xmlrpc0db0.php	(from https://bluezone.com.ng/fx/)
16:51:00	2015/2015	---MCZ	200	added ('OK')	application/json	date:Mon,%2026%20Feb%202024%2015:50:59%20GMT	https://bluezone.com.ng/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbluezone.com.ng%2Ffx%2F	/home/raviheima/client/test/wp-json/oembed/1.0/embedae5c.json	(from https://bluezone.com.ng/fx/)
16:51:01	0/0	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Feb%202024%2015:51:00%20GMT	https://bluezone.com.ng/?p=12	/home/raviheima/client/test/index678b.html	(from https://bluezone.com.ng/fx/)
16:51:02	2175/2175	---MCZ	200	added ('OK')	text/xml	date:Mon,%2026%20Feb%202024%2015:51:01%20GMT	https://bluezone.com.ng/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbluezone.com.ng%2Ffx%2F&format=xml	/home/raviheima/client/test/wp-json/oembed/1.0/embed969f	(from https://bluezone.com.ng/fx/)
16:51:10	326628/326628	---M--	200	added ('OK')	font/woff2	date:Tue,%2007%20Nov%202023%2018:00:10%20GMT	https://bluezone.com.ng/wp-content/themes/twentytwentyfour/assets/fonts/inter/Inter-VariableFont_slnt,wght.woff2	/home/raviheima/client/test/wp-content/themes/twentytwentyfour/assets/fonts/inter/Inter-VariableFont_slnt,wght.woff2	(from https://bluezone.com.ng/fx/)
16:51:11	146060/146060	---M--	200	added ('OK')	font/woff2	date:Tue,%2007%20Nov%202023%2018:00:10%20GMT	https://bluezone.com.ng/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_400.woff2	/home/raviheima/client/test/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_400.woff2	(from https://bluezone.com.ng/fx/)
16:51:12	105184/105184	---M--	200	added ('OK')	font/woff2	date:Tue,%2007%20Nov%202023%2018:00:10%20GMT	https://bluezone.com.ng/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_italic_400.woff2	/home/raviheima/client/test/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_italic_400.woff2	(from https://bluezone.com.ng/fx/)
16:51:16	132564/132564	---M--	200	added ('OK')	font/woff2	date:Tue,%2007%20Nov%202023%2018:00:10%20GMT	https://bluezone.com.ng/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_700.woff2	/home/raviheima/client/test/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_700.woff2	(from https://bluezone.com.ng/fx/)
16:51:17	9921/9921	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Dec%202023%2010:59:21%20GMT	https://bluezone.com.ng/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	/home/raviheima/client/test/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	(from https://bluezone.com.ng/fx/)
16:51:19	12335/12335	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Dec%202023%2011:21:17%20GMT	https://bluezone.com.ng/wp-content/uploads/2023/12/photo_2023-12-26_15-21-14-300x300.jpg	/home/raviheima/client/test/wp-content/uploads/2023/12/photo_2023-12-26_15-21-14-300x300.jpg	(from https://bluezone.com.ng/fx/)
16:51:24	169871/169871	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2011:24:46%20GMT	https://bluezone.com.ng/wp-content/uploads/2023/12/Copy3-1024x478.png	/home/raviheima/client/test/wp-content/uploads/2023/12/Copy3-1024x478.png	(from https://bluezone.com.ng/fx/)
16:51:27	158856/158856	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2011:24:47%20GMT	https://bluezone.com.ng/wp-content/uploads/2023/12/Copy4-1024x515.png	/home/raviheima/client/test/wp-content/uploads/2023/12/Copy4-1024x515.png	(from https://bluezone.com.ng/fx/)
16:51:28	74955/74955	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2011:27:11%20GMT	https://bluezone.com.ng/wp-content/uploads/2023/12/Capture.png	/home/raviheima/client/test/wp-content/uploads/2023/12/Capture.png	(from https://bluezone.com.ng/fx/)
16:51:29	21479/21479	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2011:24:50%20GMT	https://bluezone.com.ng/wp-content/uploads/2023/12/Copy5.png	/home/raviheima/client/test/wp-content/uploads/2023/12/Copy5.png	(from https://bluezone.com.ng/fx/)
16:51:31	46308/46308	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2017:52:23%20GMT	https://bluezone.com.ng/wp-content/uploads/2023/12/Capturex.png	/home/raviheima/client/test/wp-content/uploads/2023/12/Capturex.png	(from https://bluezone.com.ng/fx/)
16:51:35	107694/107694	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2011:25:08%20GMT	https://bluezone.com.ng/wp-content/uploads/2023/12/Copy8-1024x410.png	/home/raviheima/client/test/wp-content/uploads/2023/12/Copy8-1024x410.png	(from https://bluezone.com.ng/fx/)
16:51:35	115684/115684	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2011:24:57%20GMT	https://bluezone.com.ng/wp-content/uploads/2023/12/Copy7-1024x401.png	/home/raviheima/client/test/wp-content/uploads/2023/12/Copy7-1024x401.png	(from https://bluezone.com.ng/fx/)
16:51:41	125556/125556	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2011:25:46%20GMT	https://bluezone.com.ng/wp-content/uploads/2023/12/Copy10-1024x444.png	/home/raviheima/client/test/wp-content/uploads/2023/12/Copy10-1024x444.png	(from https://bluezone.com.ng/fx/)
16:51:43	15204/15204	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2011:25:47%20GMT	https://bluezone.com.ng/wp-content/uploads/2023/12/Copy11.png	/home/raviheima/client/test/wp-content/uploads/2023/12/Copy11.png	(from https://bluezone.com.ng/fx/)
16:51:44	275779/275779	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2011:25:20%20GMT	https://bluezone.com.ng/wp-content/uploads/2023/12/Copy9-1024x576.png	/home/raviheima/client/test/wp-content/uploads/2023/12/Copy9-1024x576.png	(from https://bluezone.com.ng/fx/)
16:51:48	104031/104031	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2016:58:11%20GMT	https://bluezone.com.ng/wp-content/uploads/2023/12/Copy12-1024x409.png	/home/raviheima/client/test/wp-content/uploads/2023/12/Copy12-1024x409.png	(from https://bluezone.com.ng/fx/)
16:51:52	297671/297671	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2017:13:52%20GMT	https://bluezone.com.ng/wp-content/uploads/2023/12/Screenshot_20231216-155546.png	/home/raviheima/client/test/wp-content/uploads/2023/12/Screenshot_20231216-155546.png	(from https://bluezone.com.ng/fx/)
16:51:56	367982/367982	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2017:15:07%20GMT	https://bluezone.com.ng/wp-content/uploads/2023/12/Screenshot_20231216-155616-1.png	/home/raviheima/client/test/wp-content/uploads/2023/12/Screenshot_20231216-155616-1.png	(from https://bluezone.com.ng/fx/)
16:52:05	453598/453598	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2017:16:12%20GMT	https://bluezone.com.ng/wp-content/uploads/2023/12/Screenshot_20231216-155656.png	/home/raviheima/client/test/wp-content/uploads/2023/12/Screenshot_20231216-155656.png	(from https://bluezone.com.ng/fx/)
16:52:14	358047/358047	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2017:19:45%20GMT	https://bluezone.com.ng/wp-content/uploads/2023/12/Screenshot_20231216-171848.png	/home/raviheima/client/test/wp-content/uploads/2023/12/Screenshot_20231216-171848.png	(from https://bluezone.com.ng/fx/)
16:52:15	424426/424426	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2017:21:18%20GMT	https://bluezone.com.ng/wp-content/uploads/2023/12/Screenshot_20231216-165017-1.png	/home/raviheima/client/test/wp-content/uploads/2023/12/Screenshot_20231216-165017-1.png	(from https://bluezone.com.ng/fx/)
16:52:21	359909/359909	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2017:22:22%20GMT	https://bluezone.com.ng/wp-content/uploads/2023/12/Screenshot_20231216-171827.png	/home/raviheima/client/test/wp-content/uploads/2023/12/Screenshot_20231216-171827.png	(from https://bluezone.com.ng/fx/)
16:52:25	274991/274991	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2017:39:46%20GMT	https://bluezone.com.ng/wp-content/uploads/2023/12/Screenshot_20231216-155902-1-2-461x1024.png	/home/raviheima/client/test/wp-content/uploads/2023/12/Screenshot_20231216-155902-1-2-461x1024.png	(from https://bluezone.com.ng/fx/)
16:52:29	340395/340395	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2017:47:07%20GMT	https://bluezone.com.ng/wp-content/uploads/2023/12/copp.png	/home/raviheima/client/test/wp-content/uploads/2023/12/copp.png	(from https://bluezone.com.ng/fx/)
16:52:30	78598/78598	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2017:47:51%20GMT	https://bluezone.com.ng/wp-content/uploads/2023/12/G.png	/home/raviheima/client/test/wp-content/uploads/2023/12/G.png	(from https://bluezone.com.ng/fx/)
16:52:31	19282/19282	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Dec%202023%2010:58:22%20GMT	https://bluezone.com.ng/wp-content/plugins/elementor-pro/assets/css/widget-animated-headline.min.css	/home/raviheima/client/test/wp-content/plugins/elementor-pro/assets/css/widget-animated-headline.min.css	(from https://bluezone.com.ng/fx/)
